cislo,spol,ico,sektor,nace,druh,zeme,inv_eur,inv_usd,inv_czk,nova_mista,pod_dane,pob_mista,pob_rekv,pob_pozem,pob_kap,mira_podpory,strop,okres,kraj,region_nuts,podani,rozh_den,rozh_mesic,rozh_rok,msp,zruseno
367,Brose CZ spol. s r.o.,61465704,výroba dopravních prostředků,,výroba,Německo,25.512136340161817,30.172238283317725,741,200.0,T,J,R,,,0.5,350.5,Nový Jičín,Moravskoslezský,,2006,,prosinec,2006,False,False
368,Leitinger Bio Pellets Paskov s.r.o.,27769747,ostatní,,výroba,Rakousko,7.1499397486658625,8.45596319068366,207.67,10.0,T,J,R,,,0.5,103.84,Frýdek-Místek,Moravskoslezský,,2006,,prosinec,2006,False,False
369,Benteler Automotive Rumburk s.r.o.,25492080,výroba dopravních prostředků,,výroba,Německo,5.577552074367361,6.596359786636263,162,23.0,T,J,R,,,0.49,79.38,Děčín,Ústecký,,2006,,prosinec,2006,False,False
370,Kemmerich Czech s.r.o.,27781917,výroba dopravních prostředků,,výroba,Německo,9.813737304183164,11.606335762856794,285.04,105.0,T,J,R,,,0.49,131.28,Vsetín,Zlínský,,2006,,prosinec,2006,False,False
371,"Nejdecká česárna vlny, a.s.",63509326,textilní,,výroba,Velká Británie,9.134102255121363,10.80255710737408,265.3,30.0,T,,,,,0.49,130.0,Karlovy Vary,Karlovarský,,2006,,prosinec,2006,False,False
372,INDET SAFETY SYSTEMS a.s.,25114638,výroba dopravních prostředků,,výroba,Japonsko,27.73179548975727,32.79734516877723,805.47,118.0,T,,R,,,0.49,383.01,Vsetín,Zlínský,,2006,,prosinec,2006,False,False
373,Synthon s.r.o.,26158485,chemický a farmaceutický,,výroba,Nizozemí,8.386985711826476,9.918970642127121,243.6,25.0,T,,,,,0.48,111.5,Blansko,Jihomoravský,,2006,,prosinec,2006,False,True
374,Faerch Plast s.r.o.,27302849,gumárenský a plastikářský,,výroba,Dánsko,80.42692373902564,95.1178793924834,2336,360.0,T,,,,,0.48,901.98,Liberec,Liberecký,,2006,,prosinec,2006,False,False
375,"Hitachi Home Electronics (Czech), s.r.o.",27578330,elektronický a elektrotechnický,,výroba,Japonsko,59.67739714236529,70.57819943808786,1733.33,2000.0,T,J,R,,,0.49,770.95,Louny,Ústecký,,2006,,prosinec,2006,False,True
376,PLAKOR CZECH s.r.o.,27566005,výroba dopravních prostředků,,výroba,Korea,60.901704252022725,72.02614112952482,1768.89,504.0,T,J,R,,,0.5,787.22,Nový Jičín,Moravskoslezský,,2006,,prosinec,2006,False,False
